,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число действительных избирательных бюллетеней,Число недействительных избирательных бюллетеней,Победитель,Число проголосовавших за победителя,Процент победителя,Партия победителя,Номер УИК,Район,Округ
0,1628,1600,271,25,0,296,0,Муравьева Екатерина Александровна,242,81.76,Самарское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России,УИК №2701,Красноглинского,Седьмой
1,1556,1500,76,31,8,108,7,Деникаева Наталия Олеговна,71,61.74,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2702,Красноглинского,Шестой
2,1494,1500,87,53,0,137,3,Анисимова Ирина Владимировна,120,85.71,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2703,Красноглинского,Четвёртый
3,2355,2300,276,107,20,397,6,Мотынга Иван Анатольевич,354,87.84,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2704,Красноглинского,Девятый
4,1409,1400,76,129,5,204,6,Солдатов Алексей Владимирович,104,49.52,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2705,Красноглинского,Седьмой
5,1228,1200,102,41,6,145,4,Муханов Алексей Борисович,103,69.13,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2706,Красноглинского,Восьмой
6,2025,2000,114,70,5,179,10,Поваляев Максим Владимирович,118,62.43,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2707,Красноглинского,Десятый
7,1335,1300,95,43,0,135,3,Поваляев Максим Владимирович,105,76.09,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2708,Красноглинского,Десятый
8,1742,1700,132,66,4,189,13,Каримов Ибрагим Исраилович,139,68.81,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2709,Красноглинского,Одиннадцатый
9,1306,1300,94,197,1,284,8,Каримов Ибрагим Исраилович,265,90.75,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2710,Красноглинского,Одиннадцатый
10,1258,1200,79,70,24,165,8,Подолько Игнатий Вадимович,93,53.76,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2711,Красноглинского,Двенадцатый
11,1655,1600,130,93,7,223,6,Легостаев Александр Васильевич,130,56.77,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2712,Красноглинского,Тринадцатый
12,1899,1900,171,119,11,294,7,Подолько Игнатий Вадимович,224,74.42,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2713,Красноглинского,Двенадцатый
13,257,262,214,27,0,241,0,Легостаев Александр Васильевич,237,98.34,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2714,Красноглинского,Тринадцатый
14,1407,1400,52,76,1,124,5,Легостаев Александр Васильевич,49,37.98,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2715,Красноглинского,Тринадцатый
15,1915,1900,152,94,28,270,4,Галстян Эдуард Товмасович,216,78.83,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2716,Красноглинского,Четырнадцатый
16,1879,1800,94,233,8,332,3,Толкодубов Игорь Сергеевич,260,77.61,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в Самарской области,УИК №2717,Красноглинского,Пятнадцатый
17,1441,1400,71,73,9,148,5,Кузнецов Виктор Иванович,58,37.91,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2718,Красноглинского,Пятнадцатый
18,1838,1800,112,118,24,251,3,Щеглов Сергей Владимирович,99,38.98,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2719,Красноглинского,Семнадцатый
19,1820,1800,119,100,7,214,12,Лисов Евгений Валерьевич,159,70.35,Самарское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России,УИК №2720,Красноглинского,Шестнадцатый
20,1685,1700,87,91,0,151,27,Козлов Алексей Павлович,63,35.39,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2721,Красноглинского,Шестнадцатый
21,1663,1600,70,51,5,122,4,Щеглов Сергей Владимирович,61,48.41,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2722,Красноглинского,Семнадцатый
22,2170,2100,120,121,0,238,3,Цепелёв Максим Павлович,94,39.0,Самовыдвижение,УИК №2723,Красноглинского,Восемнадцатый
23,1399,1400,90,109,7,202,4,Калинина Светлана Владимировна,83,40.29,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2724,Красноглинского,Восемнадцатый
24,1372,1300,68,76,3,141,6,Кривошеев Александр Геннадьевич,56,38.1,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2725,Красноглинского,Девятнадцатый
25,1133,1100,81,63,0,139,5,Кривошеев Александр Геннадьевич,92,63.89,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2726,Красноглинского,Девятнадцатый
26,657,600,78,38,1,117,0,Кривошеев Александр Геннадьевич,91,77.78,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2727,Красноглинского,Девятнадцатый
27,2586,2500,179,104,8,276,15,Евтухова Ольга Александровна,134,46.05,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2728,Красноглинского,Двадцатый
28,1572,1500,187,87,23,291,6,Ильин Андрей Владимирович,215,72.39,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2729,Красноглинского,Двадцать второй
29,1840,1800,166,74,8,241,7,Мардгалимов Рафаэль Габдуллович,174,70.16,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2730,Красноглинского,Двадцать первый
30,1801,1800,198,50,0,241,7,Мардгалимов Рафаэль Габдуллович,204,82.26,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2731,Красноглинского,Двадцать первый
31,2022,2000,228,150,38,398,18,Кузнецов Николай Васильевич,286,68.75,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2732,Красноглинского,Двадцать третий
32,2021,2000,164,170,16,342,8,Ильин Андрей Владимирович,290,82.86,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2733,Красноглинского,Двадцать второй
33,2079,2000,178,141,35,338,16,Новоселец Валентина Григорьевна,210,59.32,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2734,Красноглинского,Двадцать пятый
34,1751,1700,193,236,13,416,26,Синельников Роман Владимирович,197,44.57,Самарское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России,УИК №2735,Красноглинского,Двадцать четвёртый
35,1223,1200,205,266,29,477,23,Новоселец Валентина Григорьевна,382,76.4,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2736,Красноглинского,Двадцать пятый
36,1430,1400,246,162,21,404,25,Кузнецов Николай Васильевич,270,62.94,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2737,Красноглинского,Двадцать третий
37,1816,1800,174,177,0,334,17,Синельников Роман Владимирович,165,47.01,Самарское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России,УИК №2738,Красноглинского,Двадцать четвёртый
38,1601,1600,53,29,0,80,2,Бурцева Ирина Владимировна,62,75.61,"Местное отделение Красноглинского района городского округа Самара Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""",УИК №2739,Красноглинского,Третий
