Имя ТИК,Номер ОИК,Число избирателей,Явка,Действительных бюллетеней,Недействительных бюллетеней,Досрочно,На УИКах,На дому,Победитель,Число проголосовавших за победителя,Процент победителя,Партия победителя,Результат второго места
 Железнодорожного района ,Первый,4274,20.92,877,17,557,277,60,Кравец Анна Александровна,649,72.6,Единая Россия,95
 Железнодорожного района ,Второй,4115,10.3,407,17,238,141,45,Горюнов Алексей Алексеевич,257,60.61,Единая Россия,92
 Железнодорожного района ,Третий,4163,21.02,852,23,603,236,36,Натальчук Михаил Сергеевич,636,72.69,Единая Россия,90
 Железнодорожного района ,Четвертый,4153,11.27,451,17,238,171,59,Бурлакова Юлия Владимировна,181,38.68,Единая Россия,99
 Железнодорожного района ,Пятый,3851,22.49,856,10,458,356,52,Маевский Константин Викторович,655,75.64,Единая Россия,89
 Железнодорожного района ,Шестой,4030,23.03,922,6,575,315,38,Макушева Светлана Васильевна,762,82.11,Единая Россия,85
 Железнодорожного района ,Седьмой,3513,13.27,451,15,241,159,66,Нурдина Татьяна Александровна,264,56.65,Единая Россия,82
 Железнодорожного района ,Восьмой,3768,11.68,429,11,241,162,37,Белякова Лариса Валерьевна,249,56.59,Единая Россия,68
 Железнодорожного района ,Девятый,3699,13.17,486,1,276,124,87,Палагина Татьяна Евгеньевна,339,69.61,Единая Россия,63
 Железнодорожного района ,Десятый,4171,7.02,285,8,160,123,10,Гужов Виктор Валентинович,110,37.54,КПРФ,108
 Железнодорожного района ,Одинадцатый,3973,12.66,496,7,314,175,14,Жукова Татьяна Владимировна,352,69.98,Единая Россия,60
 Железнодорожного района ,Двенадцатый,3782,15.34,566,14,412,114,54,Зверев Владимир Александрович,391,67.41,Единая Россия,57
 Железнодорожного района ,Тринадцатый,3689,13.77,501,7,346,153,9,Абрамова Анастасия Сергеевна,385,75.79,Единая Россия,42
 Железнодорожного района ,Четырнадцатый,3612,23.23,828,11,554,228,57,Скобеев Николай Леонидович,674,80.33,Единая Россия,72
 Железнодорожного района ,Пятнадцатый,4021,16.59,621,46,376,158,133,Родионов Дмитрий Андреевич,430,64.47,Единая Россия,122
 Железнодорожного района ,Шестнадцатый,3514,10.73,365,12,195,136,46,Маркушина Наталья Сергеевна,186,49.34,Единая Россия,91
 Железнодорожного района ,Семнадцатый,3570,12.38,436,6,287,146,9,Смирнов Олег Вячеславович,323,73.08,Единая Россия,48
 Железнодорожного района ,Восемнадцатый,4118,11.24,454,9,231,117,115,Платицына Юлия Павловна,311,67.17,Единая Россия,58
 Железнодорожного района ,Девятнадцатый,4044,10.78,420,16,248,170,18,Саяпина Елена Геннадьевна,278,63.76,Единая Россия,58
 Железнодорожного района ,Двадцатый,4050,10.52,417,9,255,110,61,Титова Марина Даниловна,288,67.61,Единая Россия,68
