Район,Округ,Номер УИК,Число избирателей,Явка,Действительных бюллетеней,Недействительных бюллетеней,Досрочно,На УИКах,На дому,Победитель,Число проголосовавших за победителя,Процент победителя,Партия победителя
Красноглинского,Седьмой,УИК №2701,1628,18.18,296,0,271,25,0,Муравьева Екатерина Александровна,242,81.76,ЛДПР
Красноглинского,Шестой,УИК №2702,1556,7.39,108,7,76,31,8,Деникаева Наталия Олеговна,71,61.74,Единая Россия
Красноглинского,Четвёртый,УИК №2703,1494,9.37,137,3,87,53,0,Анисимова Ирина Владимировна,120,85.71,Единая Россия
Красноглинского,Девятый,УИК №2704,2355,17.11,397,6,276,107,20,Мотынга Иван Анатольевич,354,87.84,Единая Россия
Красноглинского,Седьмой,УИК №2705,1409,14.9,204,6,76,129,5,Солдатов Алексей Владимирович,104,49.52,Единая Россия
Красноглинского,Восьмой,УИК №2706,1228,12.13,145,4,102,41,6,Муханов Алексей Борисович,103,69.13,Единая Россия
Красноглинского,Десятый,УИК №2707,2025,9.33,179,10,114,70,5,Поваляев Максим Владимирович,118,62.43,Единая Россия
Красноглинского,Десятый,УИК №2708,1335,10.34,135,3,95,43,0,Поваляев Максим Владимирович,105,76.09,Единая Россия
Красноглинского,Одиннадцатый,УИК №2709,1742,11.6,189,13,132,66,4,Каримов Ибрагим Исраилович,139,68.81,Единая Россия
Красноглинского,Одиннадцатый,УИК №2710,1306,22.36,284,8,94,197,1,Каримов Ибрагим Исраилович,265,90.75,Единая Россия
Красноглинского,Двенадцатый,УИК №2711,1258,13.75,165,8,79,70,24,Подолько Игнатий Вадимович,93,53.76,Единая Россия
Красноглинского,Тринадцатый,УИК №2712,1655,13.9,223,6,130,93,7,Легостаев Александр Васильевич,130,56.77,Единая Россия
Красноглинского,Двенадцатый,УИК №2713,1899,15.85,294,7,171,119,11,Подолько Игнатий Вадимович,224,74.42,Единая Россия
Красноглинского,Тринадцатый,УИК №2714,257,93.77,241,0,214,27,0,Легостаев Александр Васильевич,237,98.34,Единая Россия
Красноглинского,Тринадцатый,УИК №2715,1407,9.17,124,5,52,76,1,Легостаев Александр Васильевич,49,37.98,Единая Россия
Красноглинского,Четырнадцатый,УИК №2716,1915,14.31,270,4,152,94,28,Галстян Эдуард Товмасович,216,78.83,Единая Россия
Красноглинского,Пятнадцатый,УИК №2717,1879,17.83,332,3,94,233,8,Толкодубов Игорь Сергеевич,260,77.61,Справедливая Россия
Красноглинского,Пятнадцатый,УИК №2718,1441,10.62,148,5,71,73,9,Кузнецов Виктор Иванович,58,37.91,Единая Россия
Красноглинского,Семнадцатый,УИК №2719,1838,13.82,251,3,112,118,24,Щеглов Сергей Владимирович,99,38.98,Единая Россия
Красноглинского,Шестнадцатый,УИК №2720,1820,12.42,214,12,119,100,7,Лисов Евгений Валерьевич,159,70.35,ЛДПР
Красноглинского,Шестнадцатый,УИК №2721,1685,10.56,151,27,87,91,0,Козлов Алексей Павлович,63,35.39,Единая Россия
Красноглинского,Семнадцатый,УИК №2722,1663,7.58,122,4,70,51,5,Щеглов Сергей Владимирович,61,48.41,Единая Россия
Красноглинского,Восемнадцатый,УИК №2723,2170,11.11,238,3,120,121,0,Цепелёв Максим Павлович,94,39.0,Самовыдвижение
Красноглинского,Восемнадцатый,УИК №2724,1399,14.72,202,4,90,109,7,Калинина Светлана Владимировна,83,40.29,Единая Россия
Красноглинского,Девятнадцатый,УИК №2725,1372,10.71,141,6,68,76,3,Кривошеев Александр Геннадьевич,56,38.1,Единая Россия
Красноглинского,Девятнадцатый,УИК №2726,1133,12.71,139,5,81,63,0,Кривошеев Александр Геннадьевич,92,63.89,Единая Россия
Красноглинского,Девятнадцатый,УИК №2727,657,17.81,117,0,78,38,1,Кривошеев Александр Геннадьевич,91,77.78,Единая Россия
Красноглинского,Двадцатый,УИК №2728,2586,11.25,276,15,179,104,8,Евтухова Ольга Александровна,134,46.05,Единая Россия
Красноглинского,Двадцать второй,УИК №2729,1572,18.89,291,6,187,87,23,Ильин Андрей Владимирович,215,72.39,Единая Россия
Красноглинского,Двадцать первый,УИК №2730,1840,13.48,241,7,166,74,8,Мардгалимов Рафаэль Габдуллович,174,70.16,Единая Россия
Красноглинского,Двадцать первый,УИК №2731,1801,13.77,241,7,198,50,0,Мардгалимов Рафаэль Габдуллович,204,82.26,Единая Россия
Красноглинского,Двадцать третий,УИК №2732,2022,20.57,398,18,228,150,38,Кузнецов Николай Васильевич,286,68.75,Единая Россия
Красноглинского,Двадцать второй,УИК №2733,2021,17.32,342,8,164,170,16,Ильин Андрей Владимирович,290,82.86,Единая Россия
Красноглинского,Двадцать пятый,УИК №2734,2079,17.03,338,16,178,141,35,Новоселец Валентина Григорьевна,210,59.32,Единая Россия
Красноглинского,Двадцать четвёртый,УИК №2735,1751,25.24,416,26,193,236,13,Синельников Роман Владимирович,197,44.57,ЛДПР
Красноглинского,Двадцать пятый,УИК №2736,1223,40.88,477,23,205,266,29,Новоселец Валентина Григорьевна,382,76.4,Единая Россия
Красноглинского,Двадцать третий,УИК №2737,1430,30.0,404,25,246,162,21,Кузнецов Николай Васильевич,270,62.94,Единая Россия
Красноглинского,Двадцать четвёртый,УИК №2738,1816,19.33,334,17,174,177,0,Синельников Роман Владимирович,165,47.01,ЛДПР
Красноглинского,Третий,УИК №2739,1601,5.12,80,2,53,29,0,Бурцева Ирина Владимировна,62,75.61,Единая Россия
Красноглинского,Второй,УИК №2740,1552,7.02,107,2,71,38,0,Путинцева Галина Петровна,80,73.39,Единая Россия
Красноглинского,Пятый,УИК №2741,1639,4.82,74,5,49,25,5,Левин Юрий Сергеевич,41,51.9,Единая Россия
Красноглинского,Первый,УИК №2742,1591,7.17,114,0,86,19,9,Ермолаев Антон Владимирович,97,85.09,Единая Россия
Красноглинского,Восьмой,УИК №2743,2341,3.93,87,5,47,45,0,Муханов Алексей Борисович,49,53.26,Единая Россия
Красноглинского,Третий,УИК №2744,1515,7.13,106,2,81,27,0,Бурцева Ирина Владимировна,90,83.33,Единая Россия
Красноглинского,Пятый,УИК №2745,1628,3.81,61,1,39,23,0,Левин Юрий Сергеевич,46,74.19,Единая Россия
Красноглинского,Первый,УИК №2746,1563,6.08,90,5,58,37,0,Ермолаев Антон Владимирович,80,84.21,Единая Россия
Красноглинского,Двадцатый,УИК №2747,1081,15.63,164,5,95,71,3,Евтухова Ольга Александровна,81,47.93,Единая Россия
Красноглинского,Четырнадцатый,УИК №2748,1145,13.62,152,4,86,60,10,Галстян Эдуард Товмасович,121,77.56,Единая Россия
Красноглинского,Девятый,УИК №2749,1211,12.63,149,4,117,35,1,Мотынга Иван Анатольевич,133,86.93,Единая Россия
Красноглинского,Второй,УИК №2750,1507,5.91,86,3,54,35,0,Путинцева Галина Петровна,66,74.16,Единая Россия
Красноглинского,Четвёртый,УИК №2751,1518,8.7,132,0,73,57,2,Анисимова Ирина Владимировна,118,89.39,Единая Россия
Красноглинского,Шестой,УИК №2752,1577,8.12,119,9,86,34,8,Деникаева Наталия Олеговна,89,69.53,Единая Россия
Октябрьского,Первый,УИК №3001,2475,25.25,607,18,492,124,9,Сычева Наталья Валерьевна,510,81.6,Единая Россия
Октябрьского,Второй,УИК №3002,2077,21.09,424,14,200,233,5,Зимаров Владимир Михайлович,216,49.32,КПРФ
Октябрьского,Первый,УИК №3003,1408,11.93,156,11,112,45,11,Сычева Наталья Валерьевна,117,70.06,Единая Россия
Октябрьского,Третий,УИК №3004,1660,20.18,325,8,171,160,4,Никитчук Евгений Сергеевич,176,52.85,Единая Россия
Октябрьского,Третий,УИК №3005,698,17.19,120,0,59,61,0,Никитчук Евгений Сергеевич,64,53.33,Единая Россия
Октябрьского,Третий,УИК №3006,1587,19.34,299,8,137,166,4,Никитчук Евгений Сергеевич,128,41.69,Единая Россия
Октябрьского,Четвертый,УИК №3007,2483,13.45,322,12,171,161,2,Мотынга Иван Иванович,150,44.91,Единая Россия
Октябрьского,Второй,УИК №3008,1893,20.23,370,13,151,228,4,Зимаров Владимир Михайлович,248,64.75,КПРФ
Октябрьского,Шестой,УИК №3009,2054,19.52,390,11,195,201,5,Фоменко Игорь Анатольевич,196,48.88,КПРФ
Октябрьского,Шестой,УИК №3010,1695,20.47,342,5,148,185,14,Фоменко Игорь Анатольевич,167,48.13,КПРФ
Октябрьского,Четвертый,УИК №3011,1436,16.23,227,6,112,115,6,Муртазин Вячеслав Валерьевич,90,38.63,КПРФ
Октябрьского,Пятый,УИК №3012,1770,23.62,416,2,132,271,15,Федоров Максим Анатольевич,204,48.8,КПРФ
Октябрьского,Пятый,УИК №3013,1767,19.58,343,3,150,193,3,Пичкуров Сергей Владимирович,183,52.89,Единая Россия
Октябрьского,Восьмой,УИК №3014,1859,9.04,167,1,64,101,3,Пресняков Владимир Николаевич,66,39.29,КПРФ
Октябрьского,Седьмой,УИК №3015,1966,15.41,296,7,130,170,3,Купцов Денис Игоревич,148,48.84,Единая Россия
Октябрьского,Девятый,УИК №3016,1029,17.01,171,4,63,104,8,Асеев Дмитрий Геннадьевич,110,62.86,КПРФ
Октябрьского,Девятый,УИК №3017,2639,15.38,399,7,158,238,10,Асеев Дмитрий Геннадьевич,265,65.27,КПРФ
Октябрьского,Десятый,УИК №3018,1628,14.5,231,5,134,102,0,Лазарев Анатолий Владимирович,138,58.47,Единая Россия
Октябрьского,Седьмой,УИК №3019,1649,17.22,280,4,123,159,2,Купцов Денис Игоревич,148,52.11,Единая Россия
Октябрьского,Одиннадцатый,УИК №3020,1794,16.72,294,6,141,146,13,Половинкин Сергей Алексеевич,138,46.0,Единая Россия
Октябрьского,Двенадцатый,УИК №3021,1087,13.62,142,6,65,82,1,Белов Григорий Олегович,77,52.03,КПРФ
Октябрьского,Двенадцатый,УИК №3022,2849,12.04,333,10,168,146,29,Квашин Дмитрий Александрович,152,44.31,Единая Россия
Октябрьского,Четырнадцатый,УИК №3023,1307,17.37,221,6,103,107,17,Хохлов Сергей Викторович,94,41.41,Единая Россия
Октябрьского,Одиннадцатый,УИК №3024,2376,14.65,344,4,112,226,10,Половинкин Сергей Алексеевич,137,39.37,Единая Россия
Октябрьского,Двадцать первый,УИК №3025,2013,11.97,218,23,83,152,6,Корабельников Александр Николаевич,78,32.37,Самовыдвижение
Октябрьского,Двадцать первый,УИК №3026,2012,8.2,149,16,76,78,11,Асабин Виталий Викторович,81,49.09,Единая Россия
Октябрьского,Восьмой,УИК №3027,1900,11.26,210,4,60,150,4,Андреев Антон Александрович,86,40.19,Новые люди
Октябрьского,Двадцать второй,УИК №3028,2391,8.07,188,5,75,114,4,Сидоренко Денис Анатольевич,77,39.9,КПРФ
Октябрьского,Тринадцатый,УИК №3029,2061,23.34,468,6,374,99,8,Дегтев Алексей Петрович,427,90.08,Единая Россия
Октябрьского,Десятый,УИК №3030,2161,10.74,228,4,116,115,1,Лазарев Анатолий Владимирович,144,62.07,Единая Россия
Октябрьского,Тринадцатый,УИК №3031,1732,33.14,574,0,472,97,5,Дегтев Алексей Петрович,521,90.77,Единая Россия
Октябрьского,Двадцать третий,УИК №3032,1990,7.29,143,2,72,64,9,Репин Александр Владимирович,78,53.79,Единая Россия
Октябрьского,Двадцать четвертый,УИК №3033,1832,13.59,245,4,107,140,2,Белоусов Андрей Борисович,89,35.74,Единая Россия
Октябрьского,Двадцать четвертый,УИК №3034,1578,14.58,226,3,121,107,2,Белоусов Андрей Борисович,135,58.95,Единая Россия
Октябрьского,Двадцатый,УИК №3035,1968,21.7,417,10,351,76,0,Бодров Владимир Георгиевич,356,83.37,Единая Россия
Октябрьского,Двадцатый,УИК №3036,2100,15.81,326,6,250,82,0,Бодров Владимир Георгиевич,269,81.02,Единая Россия
Октябрьского,Семнадцатый,УИК №3037,1963,11.77,228,3,95,131,5,Сухарев Иван Николаевич,125,54.11,Единая Россия
Октябрьского,Семнадцатый,УИК №3038,1734,13.96,239,3,133,98,11,Сухарев Иван Николаевич,154,63.64,Единая Россия
Октябрьского,Девятнадцатый,УИК №3039,2509,9.17,228,2,117,107,6,Кузьмина Марина Васильевна,107,46.52,КПРФ
Октябрьского,Восемнадцатый,УИК №3040,2624,7.62,193,7,97,100,3,Трифонов Илья Александрович,90,45.0,Единая Россия
Октябрьского,Пятнадцатый,УИК №3041,1373,13.18,176,5,105,76,0,Горшкова Оксана Александровна,101,55.8,Единая Россия
Октябрьского,Пятнадцатый,УИК №3042,2029,17.2,343,5,173,172,4,Горшкова Оксана Александровна,166,47.7,Единая Россия
Октябрьского,Шестнадцатый,УИК №3043,2262,16.67,375,2,250,107,20,Мартынов Алексей Анатольевич,337,89.39,Единая Россия
Октябрьского,Двадцать пятый,УИК №3044,2409,7.02,164,5,62,103,4,Сикачев Владимир Александрович,72,42.6,Единая Россия
Октябрьского,Двадцать второй,УИК №3045,1557,9.76,146,6,61,91,0,Мосягин Анатолий Вячеславович,53,34.87,Единая Россия
Октябрьского,Четырнадцатый,УИК №3046,2553,10.46,263,4,65,202,0,Алексеев Вадим Александрович,135,50.56,Яблоко
Октябрьского,Восемнадцатый,УИК №3047,1599,4.38,69,1,26,43,1,Трифонов Илья Александрович,28,40.0,Единая Россия
Октябрьского,Двадцать третий,УИК №3048,1893,4.44,82,1,24,60,0,Кайнов Вениамин Леонидович,40,48.19,КПРФ
Октябрьского,Шестнадцатый,УИК №3049,1179,15.1,174,3,117,57,4,Мартынов Алексей Анатольевич,147,83.05,Единая Россия
Октябрьского,Девятнадцатый,УИК №3050,1270,11.73,148,1,12,102,35,Перевалов Александр Николаевич,104,69.8,Единая Россия
Октябрьского,Двадцать пятый,УИК №3051,1126,6.75,75,1,21,52,3,Ситников Вячеслав Вячеславович,34,44.74,ЛДПР
Самарского,Первый,УИК №3201,1233,17.44,204,11,62,140,13,Митрофанов Алексей Петрович,100,46.51,Справедливая Россия
Самарского,Второй,УИК №3201,1190,8.74,103,1,38,60,6,Медведев Александр Викторович,62,59.62,Единая Россия
Самарского,Третий,УИК №3202,1241,11.12,136,2,47,84,7,Егоров Олег Игоревич,56,40.58,Самовыдвижение
Самарского,Десятый,УИК №3202,1144,15.3,170,5,51,114,10,Токмань Ираида Федоровна,75,42.86,Единая Россия
Самарского,Пятый,УИК №3203,1047,16.52,169,0,75,91,7,Рязанов Сергей Владимирович,124,73.37,Единая Россия
Самарского,Шестой,УИК №3203,1213,12.37,144,6,36,105,9,Матюнин Максим Алексеевич,53,35.33,Самовыдвижение
Самарского,Седьмой,УИК №3204,1166,16.21,186,3,82,98,9,Цибарева Ольга Юрьевна,111,58.73,Единая Россия
Самарского,Девятый,УИК №3205,1194,11.64,135,4,71,63,5,Любимова Ольга Германовна,78,56.12,Единая Россия
Самарского,Восьмой,УИК №3206,1012,13.04,130,2,51,72,9,Илингин Рустам Усманович,56,42.42,Единая Россия
Самарского,Пятнадцатый,УИК №3207,1177,16.48,189,5,107,86,1,Максимов Максим Александрович,161,82.99,Единая Россия
Самарского,Шестнадцатый,УИК №3207,1198,10.18,114,8,39,83,0,Санникова Татьяна Александровна,65,53.28,Единая Россия
Самарского,Четвертый,УИК №3208,1242,9.9,119,4,29,94,0,Насыбуллина Рената Артуровна,55,44.72,Самовыдвижение
Самарского,Одиннадцатый,УИК №3208,1279,10.32,125,7,45,86,1,Ладяев Андрей Юрьевич,37,28.03,Новые люди
Самарского,Двенадцатый,УИК №3209,1092,15.66,169,2,55,105,11,Попова Елена Владимировна,60,35.09,Единая Россия
Самарского,Тринадцатый,УИК №3209,1149,13.75,153,5,78,72,8,Пугачев Алексей Валерьевич,75,47.47,Единая Россия
Самарского,Четырнадцатый,УИК №3210,1198,20.45,243,2,114,124,7,Дворцова Олеся Геннадьевна,130,53.06,Единая Россия
Самарского,Восемнадцатый,УИК №3211,1190,14.96,172,6,68,107,3,Габдрахманов Марат Альбертович,83,46.63,Справедливая Россия
Самарского,Девятнадцатый,УИК №3212,1082,14.42,150,6,72,84,0,Пичкунов Виталий Владимирович,66,42.31,Справедливая Россия
Самарского,Семнадцатый,УИК №3213,1191,11.34,131,4,76,55,4,Рагимов Анатолий Холих Гулиевич,103,76.3,Единая Россия
Самарского,Двадцатый,УИК №3213,1188,9.93,116,2,51,45,22,Дмитриева Мария Степановна,89,75.42,Единая Россия
Советского,Четырнадцатый,УИК №3301,1848,14.56,269,0,178,45,46,Мушкат Наталья Сергеевна,205,76.21,Единая Россия
Советского,Четырнадцатый,УИК №3302,1942,17.1,327,5,189,106,37,Мушкат Наталья Сергеевна,263,79.22,Единая Россия
Советского,Четырнадцатый,УИК №3303,1884,14.17,261,6,159,90,18,Мушкат Наталья Сергеевна,210,78.65,Единая Россия
Советского,Двенадцатый,УИК №3304,2533,7.86,195,4,130,68,1,Танаева Татьяна Алексеевна,152,76.38,Единая Россия
Советского,Двенадцатый,УИК №3305,2723,12.08,323,6,235,83,11,Танаева Татьяна Алексеевна,267,81.16,Единая Россия
Советского,Тринадцатый,УИК №3306,1102,5.9,64,1,30,28,7,Штейн Денис Сергеевич,36,55.38,Единая Россия
Советского,Девятнадцатый,УИК №3307,1242,10.95,132,4,58,73,5,Иванов Владимир Иванович,80,58.82,Единая Россия
Советского,Десятый,УИК №3308,2843,4.43,124,2,87,39,0,Скворцов Сергей Дмитриевич,89,70.63,Самовыдвижение
Советского,Тринадцатый,УИК №3309,1754,4.79,82,2,47,37,0,Штейн Денис Сергеевич,55,65.48,Единая Россия
